1.29	1	Carpitanus	PROPN	noun	Case=Nom|Gender=Masc|Number=Sing	Carpitanus	flat	0
1.29	2	ut	SCONJ	adverb		ut	dep	0
1.29	3	sup	ADJ	noun		sub	obj	2
1.29	4	.	PUNCT	punc		.	punct	3
1.30	0	Carcadius	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Carcadius	ROOT	0
1.30	1	Maxulitanus	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Maxulitanus	amod	0
1.30	2	ut	SCONJ	adverb		ut	mark	3
1.30	3	sp	NOUN	noun		sp	advcl:cmp	0
1.30	4	.	PUNCT	punc		.	punct	3
1.31	0	Cyprianus	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Cyprianus	ROOT	0
1.31	1	Bonustensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Bonustensis	amod	0
1.31	2	.	PUNCT	punc		.	punct	0
1.32	0	Dalmatius	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Dalmatius	ROOT	0
1.32	1	Tinisensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Tinisensis	amod	0
1.32	2	.	PUNCT	punc		.	punct	0
1.32	3	Corsic	ADV	noun		Corsic	ROOT	3
1.32	4	.	PUNCT	punc		.	punct	3
1.33	0	Aemilianus	PROPN	adjective	Case=Nom|Gender=Masc|Number=Sing	Aemilianus	ROOT	0
1.33	1	Culusitanus	NOUN	noun	Case=Nom|Gender=Masc|Number=Sing	Culusitanus	appos	0
1.33	2	.	PUNCT	punc		.	punct	0
1.33	3	Corsic	ADJ	noun		Corsic	ROOT	3
1.33	4	.	PUNCT	punc		.	punct	3
1.34	0	Felix	PROPN	adjective	Case=Nom|Gender=Masc|Number=Sing	Felix	ROOT	0
1.34	1	Bullensis	NOUN	noun	Case=Gen|Gender=Fem|Number=Sing	Bullensis	nmod	0
1.34	2	.	PUNCT	punc		.	punct	0
1.34	3	prbt	NOUN	noun		prbt	ROOT	3
1.34	4	.	PUNCT	punc		.	punct	3
1.35	0	Clementinus	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Clementinus	ROOT	0
1.35	1	Neapolitanus	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	neapolitanus	conj	0
1.35	2	.	PUNCT	punc		.	punct	0
1.35	3	Corsic	ADJ	adjective		Corsic	ROOT	3
1.35	4	.	PUNCT	punc		.	punct	3
1.36	0	Felix	PROPN	adjective	Case=Nom|Gender=Masc|Number=Sing	Felix	ROOT	0
1.36	1	Curubitanus	PROPN	noun	Case=Nom|Gender=Masc|Number=Sing	Curubitanus	flat	0
1.36	2	ut	SCONJ	adverb		ut	advmod	3
1.36	3	sp	NOUN	noun		sp	advcl:cmp	0
1.36	4	.	PUNCT	punc		.	punct	3
1.37	0	Deuterius	NOUN	adverb	Case=Acc|Gender=Neut|Number=Sing	Deuterius	ROOT	0
1.37	1	Simminensis	ADJ	verb	Case=Gen|Gender=Neut|Number=Sing	Simminensis	amod	0
1.37	2	ut	SCONJ	adverb		ut	mark	3
1.37	3	sp	NOUN	noun		sp	advcl:cmp	0
1.37	4	.	PUNCT	punc		.	punct	3
1.38	0	Aurelius	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Aurelius	ROOT	0
1.38	1	Clipiensis	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Clipiensis	amod	0
1.38	2	ut	ADV	conjunction		ut	advmod	3
1.38	3	sp	NOUN	noun		sp	advcl:cmp	0
1.38	4	.	PUNCT	punc		.	punct	3
1.39	0	Coronius	PROPN	noun	Case=Nom|Gender=Masc|Number=Sing	Coronius	ROOT	0
1.39	1	Meglapolitanus	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Meglapolitanus	amod	0
1.39	2	ut	SCONJ	adverb		ut	mark	3
1.39	3	sp	NOUN	noun		sps	advcl:cmp	0
1.39	4	.	PUNCT	punc		.	punct	3
1.40	0	Benenatus	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Benenatus	ROOT	0
1.40	1	Timidensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Timidensis	nmod	0
1.40	2	ut	SCONJ	adverb		ut	mark	3
1.40	3	sp	NOUN	noun		sp	advcl:cmp	0
1.40	4	.	PUNCT	punc		.	punct	3
1.41	0	Uincentius	ADV	verb		uincentius	advmod	1
1.41	1	Ziggensis	VERB	adjective	Case=Gen|Gender=Neut|Number=Sing|VerbForm=Part|Voice=Act	Ziggensis	ROOT	1
1.41	2	.	PUNCT	punc		.	punct	1
1.41	3	in	ADP	preposition		in	case	4
1.41	4	exil	VERB	adjective	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	exilis	ROOT	4
1.41	5	.	PUNCT	punc		.	punct	4
1.42	0	Florentius	DET	adjective	Case=Gen|Gender=Neut|Number=Sing	florenter	ROOT	0
1.42	1	Seminensis	ADJ	verb	Case=Abl|Gender=Neut|Number=Plur	Seminensis	advcl	0
1.42	2	.	PUNCT	punc		.	punct	0
1.42	3	Corsica	PROPN	proper_noun	Case=Abl|Gender=Fem|Number=Sing	Corsica	ROOT	3
1.42	4	.	PUNCT	punc		.	punct	3
1.43	0	Honoratus	VERB	adjective	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Pass	Honoratus	ROOT	0
1.43	1	Tagaratensis	ADJ	noun	Case=Gen|Gender=Masc|Number=Sing	Tagaratensis	amod	0
1.43	2	prbt	NOUN	noun		prbt	appos	0
1.43	3	.	PUNCT	punc		.	punct	0
1.44	0	Uindemius	ADJ	adverb	Case=Nom|Gender=Masc|Number=Sing	Uindemius	ROOT	0
1.44	1	Altuburitnus	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Altuburitnus	amod	0
1.44	2	.	PUNCT	punc		.	punct	0
1.44	3	exil	VERB	adjective	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	exil	ROOT	3
1.44	4	.	PUNCT	punc		.	punct	3
1.45	0	Cyprianus	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Cyprianus	ROOT	0
1.45	1	Cellensis	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Cellensis	amod	0
1.45	2	in	ADP	preposition		in	case	3
1.45	3	exit		verb		exeo	obl	0
1.46	0	Augentius	ADJ	adverb	Case=Nom|Gender=Masc|Number=Sing	Augentius	ROOT	0
1.46	1	Uzipparitznus	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Uzipparitznus	nsubj	0
1.46	2	.	PUNCT	punc		.	punct	0
1.46	3	in	ADP	preposition		in	case	4
1.46	4	exil	VERB	adjective	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	exil	ROOT	4
1.46	5	.	PUNCT	punc		.	punct	4
1.47	0	Cassosus	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Cassosus	ROOT	0
1.47	1	Ausanensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Ausanensis	nmod	0
1.47	2	.	PUNCT	punc		.	punct	0
1.47	3	hic	ADV	pronoun		hic	ROOT	3
1.47	4	.	PUNCT	punc		.	punct	3
1.48	0	Maximinus	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	maximinus	ROOT	0
1.48	1	Naraggaritanus	ADJ	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Naraggaritanus	flat	0
1.48	2	.	PUNCT	punc		.	punct	0
1.48	3	hic	ADV	pronoun		hic	ROOT	3
1.48	4	.	PUNCT	punc		.	punct	3
1.49	0	Felix	PROPN	adjective	Case=Nom|Gender=Masc|Number=Sing	Felix	ROOT	0
1.49	1	Muzuensis	ADJ	proper_noun	Case=Dat|Gender=Masc|Number=Plur	Muzuensis	flat:name	0
1.49	2	.	PUNCT	punc		.	punct	0
1.50	0	Iohannes	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Iohannes	ROOT	0
1.50	1	Bullensium	ADJ	noun	Case=Gen|Gender=Fem|Number=Plur	Bullensium	nmod	2
1.50	2	Regiorum	NOUN	noun	Case=Gen|Gender=Fem|Number=Plur	regius	nmod	0
1.50	3	.	PUNCT	punc		.	punct	0
1.51	0	Cresciturus	ADJ	verb	Case=Nom|Gender=Masc|Number=Sing	Cresciturus	ROOT	0
1.51	1	Titulitanus	VERB	noun	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Act	Titulitanus	conj	0
1.51	2	.	PUNCT	punc		.	punct	0
1.52	0	Benenatus	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Benenatus	ROOT	0
1.52	1	Tuburbitensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Tuburbitensis	amod	0
1.52	2	.	PUNCT	punc		.	punct	0
1.53	0	Uictor	NOUN	noun	Case=Nom|Gender=Masc|Number=Sing	uictor	ROOT	0
1.53	1	Teudalensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Teudalensis	nmod	0
1.53	2	.	PUNCT	punc		.	punct	0
1.54	0	Pascasius	NOUN	noun	Case=Gen|Gender=Fem|Number=Sing	Pascasius	ROOT	0
1.54	1	Tulanensis	ADJ	adjective	Case=Gen|Gender=Fem|Number=Sing	Tulanensis	amod	0
1.54	2	.	PUNCT	punc		.	punct	0
1.55	0	Sunt	AUX	verb	Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin	sum	cop	2
1.55	1	numero	ADV	noun		numerus	advmod	2
1.55	2	Lim	NOUN	noun		Limis	ROOT	2
1.55	3	.	PUNCT	punc		.	punct	2
2.1	0	Felix	PROPN	adjective	Case=Nom|Gender=Masc|Number=Sing	Felix	ROOT	0
2.1	1	Berceritanus	NOUN	noun	Case=Nom|Gender=Masc|Number=Sing	Berceritanus	appos	0
2.1	2	.	PUNCT	punc		.	punct	0
2.2	0	Augentius	ADJ	adverb	Case=Nom|Gender=Masc|Number=Sing	Augentius	ROOT	0
2.2	1	Gazaufalensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Gazaufalensis	nmod	0
2.2	2	.	PUNCT	punc		.	punct	0
2.2	3	prbt	NOUN	noun		prbt	ROOT	3
2.2	4	.	PUNCT	punc		.	punct	3
2.3	0	Quoduultdeus	ADV	adverb		Quoduultdeus	ROOT	0
2.3	1	Calamensis	PROPN	noun	Case=Gen|Gender=Masc|Number=Sing	Calamensis	nmod	0
2.3	2	.	PUNCT	punc		.	punct	0
2.4	0	Honoratus	VERB	adjective	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Pass	Honoratus	ROOT	0
2.4	1	Castellanus	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Castellanus	conj	0
2.4	2	.	PUNCT	punc		.	punct	0
2.5	0	Leontius	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Leontius	ROOT	0
2.5	1	Burcensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Burcensis	amod	0
2.5	2	.	PUNCT	punc		.	punct	0
2.6	0	Firmianus	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Firmianus	ROOT	0
2.6	1	Centurionensis	ADJ	adjective	Case=Gen|Gender=Masc|Number=Sing	Centurionensis	nmod	0
2.6	2	.	PUNCT	punc		.	punct	0
2.6	3	prbt	NOUN	noun		prbt	ROOT	3
2.6	4	.	PUNCT	punc		.	punct	3
